accession_number,accession_version,title,create_date,update_date,organism,country,lat,lon,collection_date
KX281221.1,KX281221.1,"Spodoptera frugiperda cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2017-04-30,2017-04-30,fall armyworm,Canada,61.0666922,-107.9917071,NA
U72978.1,U72978.1,"Spodoptera frugiperda strain rice haplotype 2 cytochrome oxidase subunit I gene, mitochondrial gene encoding mitochondrial protein, partial cds",1996-11-02,1996-10-29,fall armyworm,USA,39.7837304,-100.4458825,NA
U72977.1,U72977.1,"Spodoptera frugiperda strain rice haplotype 1 cytochrome oxidase subunit I gene, mitochondrial gene encoding mitochondrial protein, partial cds",1996-11-02,1996-10-29,fall armyworm,USA,39.7837304,-100.4458825,NA
U72976.1,U72976.1,"Spodoptera frugiperda strain corn haplotype 3 cytochrome oxidase subunit I gene, mitochondrial gene encoding mitochondrial protein, partial cds",1996-11-02,1996-10-29,fall armyworm,USA,39.7837304,-100.4458825,NA
U72975.1,U72975.1,"Spodoptera frugiperda strain corn haplotype 2 cytochrome oxidase subunit I gene, mitochondrial gene encoding mitochondrial protein, partial cds",1996-11-02,1996-10-29,fall armyworm,USA,39.7837304,-100.4458825,NA
U72974.1,U72974.1,"Spodoptera frugiperda strain corn haplotype 1 cytochrome oxidase subunit I gene, mitochondrial gene encoding mitochondrial protein, partial cds",1996-11-02,1996-10-29,fall armyworm,USA,39.7837304,-100.4458825,NA
KT809294.1,KT809294.1,"Spodoptera frugiperda haplotype Hap60 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809293.1,KT809293.1,"Spodoptera frugiperda haplotype Hap59 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809292.1,KT809292.1,"Spodoptera frugiperda haplotype Hap58 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809291.1,KT809291.1,"Spodoptera frugiperda haplotype Hap57 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809290.1,KT809290.1,"Spodoptera frugiperda haplotype Hap56 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809289.1,KT809289.1,"Spodoptera frugiperda haplotype Hap55 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809288.1,KT809288.1,"Spodoptera frugiperda haplotype Hap54 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809287.1,KT809287.1,"Spodoptera frugiperda haplotype Hap53 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809286.1,KT809286.1,"Spodoptera frugiperda haplotype Hap52 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809285.1,KT809285.1,"Spodoptera frugiperda haplotype Hap51 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809284.1,KT809284.1,"Spodoptera frugiperda haplotype Hap50 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809283.1,KT809283.1,"Spodoptera frugiperda haplotype Hap49 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809282.1,KT809282.1,"Spodoptera frugiperda haplotype Hap48 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809281.1,KT809281.1,"Spodoptera frugiperda haplotype Hap47 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809280.1,KT809280.1,"Spodoptera frugiperda haplotype Hap46 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809279.1,KT809279.1,"Spodoptera frugiperda haplotype Hap45 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809278.1,KT809278.1,"Spodoptera frugiperda haplotype Hap44 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809277.1,KT809277.1,"Spodoptera frugiperda haplotype Hap43 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809276.1,KT809276.1,"Spodoptera frugiperda haplotype Hap42 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809275.1,KT809275.1,"Spodoptera frugiperda haplotype Hap41 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809274.1,KT809274.1,"Spodoptera frugiperda haplotype Hap40 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809273.1,KT809273.1,"Spodoptera frugiperda haplotype Hap39 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809272.1,KT809272.1,"Spodoptera frugiperda haplotype Hap38 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809271.1,KT809271.1,"Spodoptera frugiperda haplotype Hap37 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809270.1,KT809270.1,"Spodoptera frugiperda haplotype Hap36 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809269.1,KT809269.1,"Spodoptera frugiperda haplotype Hap35 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809268.1,KT809268.1,"Spodoptera frugiperda haplotype Hap34 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809267.1,KT809267.1,"Spodoptera frugiperda haplotype Hap33 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809266.1,KT809266.1,"Spodoptera frugiperda haplotype Hap32 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809265.1,KT809265.1,"Spodoptera frugiperda haplotype Hap31 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809264.1,KT809264.1,"Spodoptera frugiperda haplotype Hap30 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809263.1,KT809263.1,"Spodoptera frugiperda haplotype Hap29 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809262.1,KT809262.1,"Spodoptera frugiperda haplotype Hap28 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809261.1,KT809261.1,"Spodoptera frugiperda haplotype Hap27 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809260.1,KT809260.1,"Spodoptera frugiperda haplotype Hap26 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809259.1,KT809259.1,"Spodoptera frugiperda haplotype Hap25 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809258.1,KT809258.1,"Spodoptera frugiperda haplotype Hap24 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809257.1,KT809257.1,"Spodoptera frugiperda haplotype Hap23 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809256.1,KT809256.1,"Spodoptera frugiperda haplotype Hap22 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809255.1,KT809255.1,"Spodoptera frugiperda haplotype Hap21 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809254.1,KT809254.1,"Spodoptera frugiperda haplotype Hap20 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809253.1,KT809253.1,"Spodoptera frugiperda haplotype Hap19 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809252.1,KT809252.1,"Spodoptera frugiperda haplotype Hap18 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809251.1,KT809251.1,"Spodoptera frugiperda haplotype Hap17 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809250.1,KT809250.1,"Spodoptera frugiperda haplotype Hap16 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809249.1,KT809249.1,"Spodoptera frugiperda haplotype Hap15 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809248.1,KT809248.1,"Spodoptera frugiperda haplotype Hap14 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809247.1,KT809247.1,"Spodoptera frugiperda haplotype Hap13 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809246.1,KT809246.1,"Spodoptera frugiperda haplotype Hap12 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809245.1,KT809245.1,"Spodoptera frugiperda haplotype Hap11 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809244.1,KT809244.1,"Spodoptera frugiperda haplotype Hap10 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809243.1,KT809243.1,"Spodoptera frugiperda haplotype Hap9 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809242.1,KT809242.1,"Spodoptera frugiperda haplotype Hap8 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809241.1,KT809241.1,"Spodoptera frugiperda haplotype Hap7 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809240.1,KT809240.1,"Spodoptera frugiperda haplotype Hap6 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809239.1,KT809239.1,"Spodoptera frugiperda haplotype Hap5 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809238.1,KT809238.1,"Spodoptera frugiperda haplotype Hap4 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809237.1,KT809237.1,"Spodoptera frugiperda haplotype Hap3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809236.1,KT809236.1,"Spodoptera frugiperda haplotype Hap2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KT809235.1,KT809235.1,"Spodoptera frugiperda haplotype Hap1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2018-10-31,2018-10-31,fall armyworm,Brazil,-10.3333333,-53.2,NA
KJ634298.1,KJ634298.1,"Spodoptera frugiperda isolate 4434973 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2014-06-22,2014-09-04,fall armyworm,Suriname,4.1413025,-56.0771187,NA
KJ634297.1,KJ634297.1,"Spodoptera frugiperda isolate ENT0076 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2014-06-22,2014-09-04,fall armyworm,Honduras,15.2572432,-86.0755145,NA
MK318422.1,MK318422.1,"Spodoptera frugiperda isolate BX161221-094 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2019-01-21,2019-01-21,fall armyworm,Mexico,22.5000485,-100.0000375,NA
MK318420.1,MK318420.1,"Spodoptera frugiperda isolate BX161221-038 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2019-01-21,2019-01-21,fall armyworm,Mexico,22.5000485,-100.0000375,NA
MK318377.1,MK318377.1,"Spodoptera frugiperda isolate BX160324-041 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2019-01-21,2019-01-21,fall armyworm,Puerto Rico,18.1990856,-66.23444888114108,NA
MK318373.1,MK318373.1,"Spodoptera frugiperda isolate BX160322-030 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2019-01-21,2019-01-21,fall armyworm,Puerto Rico,18.1990856,-66.23444888114108,NA
MK318372.1,MK318372.1,"Spodoptera frugiperda isolate BX151210-072 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2019-01-21,2019-01-21,fall armyworm,Mexico,22.5000485,-100.0000375,NA
MK318311.1,MK318311.1,"Spodoptera frugiperda isolate BX150507-001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2019-01-21,2019-01-21,fall armyworm,Mexico,22.5000485,-100.0000375,NA
MK318297.1,MK318297.1,"Spodoptera frugiperda isolate BX150219-009 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2019-01-21,2019-01-21,fall armyworm,Dominican Republic,19.0974031,-70.3028026,NA
GU439151.1,GU439151.1,"Spodoptera frugiperda voucher BIOUG<CAN>:04HBL007509 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-01-11,2018-07-26,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Puslinch, Conc11/Hume Rd",43.537,-80.1353,01-Oct-2002
GU439150.1,GU439150.1,"Spodoptera frugiperda voucher BIOUG<CAN>:04HBL007490 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-01-11,2018-07-26,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Puslinch, Conc11/Hume Rd",43.537,-80.1353,01-Oct-2002
GU439149.1,GU439149.1,"Spodoptera frugiperda voucher BIOUG<CAN>:04HBL007265 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-01-11,2018-07-26,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Puslinch, Conc11/Hume Rd",43.537,-80.1353,01-Sep-2002
GU439148.1,GU439148.1,"Spodoptera frugiperda voucher BIOUG<CAN>:04HBL007239 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-01-11,2018-07-26,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Puslinch, Conc11/Hume Rd",43.537,-80.1353,21-Aug-2002
GU439147.1,GU439147.1,"Spodoptera frugiperda voucher BIOUG<CAN>:04HBL007236 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-01-11,2018-07-26,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Puslinch, Conc11/Hume Rd",43.537,-80.1353,21-Aug-2002
GU090724.1,GU090724.1,"Spodoptera frugiperda voucher BIOUG<CAN>:2005-ONT-2133 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-25,2018-07-26,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Concession 11",43.537,-80.1353,23-Sep-2005
GU090723.1,GU090723.1,"Spodoptera frugiperda voucher BIOUG<CAN>:2005-ONT-2131 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-25,2018-07-26,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Concession 11",43.537,-80.1353,23-Sep-2005
GU095403.1,GU095403.1,"Spodoptera frugiperda voucher BIOUG<CAN>:05-NBSTA-479 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-25,2018-06-29,fall armyworm,"Canada: New Brunswick, Charlotte Co., St. Andrews",45.0833,-67.0667,07-Aug-2005
GU094756.1,GU094756.1,"Spodoptera frugiperda voucher BIOUG<CAN>:moth2745.02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-25,2018-06-29,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Concession 11",43.537,-80.1353,06-Oct-2002
GU094755.1,GU094755.1,"Spodoptera frugiperda voucher BIOUG<CAN>:moth2243.02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-25,2018-06-29,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Concession 11",43.537,-80.1353,28-Aug-2002
GU094754.1,GU094754.1,"Spodoptera frugiperda voucher BIOUG<CAN>:moth2139.02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-25,2018-06-29,fall armyworm,"Canada: Ontario, Wellington County, Puslinch Township, Concession 11",43.537,-80.1353,24-Aug-2002
KJ388147.1,KJ388147.1,"Spodoptera frugiperda voucher DH009868 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2014-04-29,2018-06-12,fall armyworm,"Canada: Quebec, La Presentation, Rang 5 Andre Racicot",45.689,-73.088,28-Sep-2005
